customer_id,first_name,last_name,birth_year,city_id,country_name,cpf
1000,Joao,Melo,1952,1,BRAZIL,9571295051
1001,Julio,Manoel,1980,9,BRAZIL,12066738000
1002,Patricia,Jesutto,1987,3,BRAZIL,12815491001
1003,Maria,Lima,1967,8,BRAZIL,13458382046
1004,Raquel,Mantts,1956,8,BRAZIL,13540909001
1005,Melidio,Santos,1989,10,BRAZIL,15582422013
1006,Suzete,Mendes,1975,9,BRAZIL,21740674049
1007,Manoel,Carvalho,1968,5,BRAZIL,26838412055
1008,Melissa,Huits,1985,10,BRAZIL,31389753050
1009,Monica,Lima,1957,1,BRAZIL,31663996075
1010,Rodrigo,Kunirama,1963,9,BRAZIL,32331091056
1011,Flavio,Akinao,1959,1,BRAZIL,32887048031
1012,Helder,Rondonia,1988,9,BRAZIL,32927868000
1013,Ariane,Houchinol,1970,3,BRAZIL,34743798019
1014,Florian,Konkat,1976,8,BRAZIL,36332191023
1015,Ricardo,Pews,1966,6,BRAZIL,37718722007
1016,Cristiano,Souza,1987,10,BRAZIL,41741270006
1017,Lidiane,Galhardo,1986,6,BRAZIL,46822589074
1018,Leonardo,Trabilho,1972,7,BRAZIL,49010234037
1019,Marilia,Monzano,1951,8,BRAZIL,52398596044
1020,Leonardo,Abssalido,1962,8,BRAZIL,53128188017
1021,Vinicius,Barrado,1950,6,BRAZIL,55743379084
1022,Maria,Magalhaes,2006,1,BRAZIL,55951871077
1023,Louis,Pepino,1990,4,BRAZIL,56491511057
1024,Giovanna,Silva,1990,2,BRAZIL,59114168081
1025,Mauricio,Sanchez,1964,3,BRAZIL,61325617067
1026,Mariana,Silva,1968,1,BRAZIL,64283034002
1027,Talita,Angileta,1975,3,BRAZIL,66378851000
1028,Mauro,Dias,1990,3,BRAZIL,66853510046
1029,Suzana,Peixoto,1992,3,BRAZIL,68842146005
1030,Marcio,Lara,1950,4,BRAZIL,70671402005
1031,Hissashi,Robello,1952,8,BRAZIL,75589121051
1032,Luiz,Nogueira,1972,3,BRAZIL,76285079056
1033,Eduardo,Esmeralda,1978,9,BRAZIL,76376833039
1034,Junior,Wards,1986,10,BRAZIL,76970622088
1035,Carlos,Lima,1965,5,BRAZIL,77191547030
1036,Lucas,Schimotto,1966,6,BRAZIL,81244766089
1037,Marcos,Juntt,1976,4,BRAZIL,81326471066
1038,Patricio,Silva,1989,10,BRAZIL,86191732007
1039,Riccardo,Brazil,1990,3,BRAZIL,86674271012
1040,Eduardo,Fuentes,1953,3,BRAZIL,89277638079
1041,Carlos,Cavalcante,1971,4,BRAZIL,91734463007
1042,Felipe,Dois,1991,10,BRAZIL,95339739007
1043,Jose,Castro,1973,5,BRAZIL,96442198057
